MID,UID,评论时间,评论内容,评论人UID,评论人昵称,评论人个性签名,关注数量,粉丝数量,点赞数量,作品数,IP所属
4492809505100284	,2213144653	,2020-04-12 09:58:08,您好，很抱歉给您带来不愉快的心情，请您通过私信提供一下您的号码和具体问题，我们会进一步详细了解并核实，感谢您的支持。,2001627641,中国移动,你的围脖好友、身边的通信专家，又和你见面啦！在这里，中国移动“和”你一起，分享新业务、新服务与新技术。感谢有你，一路相伴~了解更多资讯，请登录www.10086.cn,11837692,648,0,53545,北京 西城区
4499141307122699	,3788629072	,2020-04-29 20:18:02,[色]1111122255577799999,7156655124,吃掉菜芽菌,每日更新美食精选，专注美食，多多关注哦！,11022,223,0,141167,北京 东城区
4499141307122699	,3788629072	,2020-04-29 20:17:11,[喜],6879872033,种草盘他菌,每日母婴精选时时更新！没有公主的命，但要有女王的心！,16230,366,0,149954,北京 朝阳区
4499141307122699	,3788629072	,2020-04-29 20:15:15,[舔屏]666888,2706436521,神券歌,没有公主的命，但要有女王的心！,11023,310,0,145264,北京 朝阳区
4499141307122699	,3788629072	,2020-04-29 20:12:30,[1]http://t.cn/A6AUA07H ,3788629072,传奇精选,精选优质生活，关注我！,19426,437,0,156145,北京
4499141307122699	,3788629072	,2020-04-29 20:12:29,可以可以可以,7189916882,小雪旅行,大家好！ 我是小雪🌿 一个喜欢旅游的90后小姑娘 因为我经常出去旅游所以认识很多喜欢旅游的朋友！ 如果大家喜欢我就可以关注我大家一起去旅行谢谢！,747937,668,0,33444,北京 东城区
4499141143503127	,2615659173	,2020-04-29 20:14:39,大乔来支持你啦,5792143556,大乔仙女君,,83538,2211,0,19240,香港 其他
4499141143503127	,2615659173	,2020-04-29 20:11:51,[1]http://t.cn/A6AUAa8e ,2615659173,心选心愿,没有女王的命，但要有一颗女王的心,10697,506,0,146734,北京
4499140987883283	,6879872033	,2020-04-29 20:57:05,[礼物]新年快乐····[哆啦A梦吃惊][哆啦A梦吃惊][哆啦A梦吃惊][哆啦A梦吃惊],3788629072,传奇精选,精选优质生活，关注我！,19426,437,0,156145,北京
4499140987883283	,6879872033	,2020-04-29 20:16:02,数由心中生，法无一定法，类象万物情，通悟神明德。,3194177182,数字能量改运学,中国伏羲易学研究学会会员，中国高级风水师、命理预测师，乐活学院联合创始人、导师。 加徽💚：2278313，分析号码、改选号码，学员培训，内部书籍。,108120,1671,0,8499,重庆 涪陵区
4499140987883283	,6879872033	,2020-04-29 20:11:14,[1]http://t.cn/A6AUAIDV ,6879872033,种草盘他菌,每日母婴精选时时更新！没有公主的命，但要有女王的心！,16230,366,0,149954,北京 朝阳区
4499140832675967	,7156655124	,2020-04-29 20:10:37,[1]http://t.cn/A6AUAGs0 ,7156655124,吃掉菜芽菌,每日更新美食精选，专注美食，多多关注哦！,11022,223,0,141167,北京 东城区
4499140677727675	,2706436521	,2020-04-29 20:11:47,[委屈],2615659173,心选心愿,没有女王的命，但要有一颗女王的心,10697,506,0,146734,北京
4499140677727675	,2706436521	,2020-04-29 20:11:24,每个人都有青春，每个青春都有故事，每个故事都有遗憾，每个遗憾都有回味不尽的美味——西门五叔,2624620987,小野岭子,回头看，轻舟已过万重山。,1449926,1022,0,44809,北京
4499140677727675	,2706436521	,2020-04-29 20:10:00,[1]http://t.cn/A6AUA29u ,2706436521,神券歌,没有公主的命，但要有女王的心！,11023,310,0,145264,北京 朝阳区
4511332567389449	,6666344697	,2020-07-11 11:31:43,你们后来是怎么变成可以装的啊。我们小区也这样。,3659056891,Sang-Chi,RECONFIGURATION,81,421,0,2032,湖北
4514334900893099	,2962264604	,2020-06-10 18:26:25,[1]http://t.cn/A62FrFTC ,2962264604,白菜博主,酒在肚子里，事在心里，中间总好象隔着一层，无论喝多少酒，都淹不到心上去,44099,4846,0,266470,海外 美国
4514334900893099	,2962264604	,2020-06-10 18:26:20,找其他商品戳 : http://t.cn/A6z6QaNa,2962264604,白菜博主,酒在肚子里，事在心里，中间总好象隔着一层，无论喝多少酒，都淹不到心上去,44099,4846,0,266470,海外 美国
4515763077741508	,2962264604	,2020-06-14 17:01:29,[1]http://t.cn/A62FrFTC ,2962264604,白菜博主,酒在肚子里，事在心里，中间总好象隔着一层，无论喝多少酒，都淹不到心上去,44099,4846,0,266470,海外 美国
4515763077741508	,2962264604	,2020-06-14 17:01:25,找其他商品戳 : http://t.cn/A6z6QaNa,2962264604,白菜博主,酒在肚子里，事在心里，中间总好象隔着一层，无论喝多少酒，都淹不到心上去,44099,4846,0,266470,海外 美国
